Ticker,Sector,Industry,PE_Ratio,PB_Ratio,ROE,Debt_to_Equity,Ind_Avg_PE,Ind_Avg_PB,Ind_Avg_ROE,Ind_Avg_Debt_Equity,Beats_Ind_PE,Beats_Ind_PB,Beats_Ind_Debt,Beats_Ind_ROE,Total_Metrics_Beaten,RSI_14d,Good_Momentum
AAPL,Technology,Consumer Electronics,34.609978,41.475544,1.4875101,78.445,34.609978,41.475544,1.4875101,78.445,No,No,No,No,0,42.96016071379776,No
NVDA,Technology,Semiconductors,34.502296,27.918217,1.14288,6.555,54.09527633333333,12.04603556,0.340206001,42.3612,Yes,No,Yes,Yes,4,63.057651318774795,Yes
MSFT,Technology,Software - Infrastructure,27.391401,8.341812,0.34039003,29.118,78.68721981818182,158.2196027153846,0.6039858355916666,4852.889666666667,Yes,Yes,Yes,No,3,71.97667219576952,No
AMZN,Consumer Cyclical,Internet Retail,21.329847,5.1827745,0.30558002,45.617,35.5390735,8.50702025,0.29031001,107.1015,Yes,Yes,Yes,Yes,5,55.364838959425285,Yes
GOOG,Communication Services,Internet Content & Information,17.274736,6.757702,0.48676,18.859,19.846297,6.2805775,0.39262,30.928,Yes,No,Yes,Yes,3,46.246635744375396,No
META,Communication Services,Internet Content & Information,22.417858,5.803453,0.29848,42.997,19.846297,6.2805775,0.39262,30.928,No,Yes,No,No,1,49.1765133967304,No
TSLA,Consumer Cyclical,Auto Manufacturers,311.8899,15.456239,0.046669997,18.373,311.8899,15.456239,0.046669997,18.373,No,No,No,No,0,47.495109394358686,No
AVGO,Technology,Semiconductors,69.40532,22.670645,0.37280998,74.018,54.09527633333333,12.04603556,0.340206001,42.3612,No,No,No,Yes,2,58.99165315209634,Yes
JPM,Financial Services,Banks - Diversified,15.651292,2.7300065,0.17789,,14.548403,1.806136625,0.12523000125,,No,No,,Yes,2,65.96686322177666,Yes
LLY,Healthcare,Drug Manufacturers - General,40.611355,34.62497,1.02286,162.071,46.29609,2.0260299374999997,0.36770714,191.1494285714286,Yes,No,Yes,Yes,4,55.655422758917005,Yes
MA,Financial Services,Credit Services,30.767225,88.65541,2.41202,439.583,19.09603075,20.07863005,0.6518050000000001,187.88375,No,No,No,Yes,2,61.15353142866046,Yes
V,Financial Services,Credit Services,31.049278,19.36672,0.6119,67.821,19.09603075,20.07863005,0.6518050000000001,187.88375,No,Yes,Yes,No,3,57.85561679519559,Yes
HD,Consumer Cyclical,Home Improvement Retail,24.268467,24.55447,1.2838,459.356,21.2571435,5.6741125,1.2838,459.356,No,No,No,No,0,49.998938381540654,No
UNH,Healthcare,Healthcare Plans,25.646528,3.459348,0.14152999,69.211,22.767939,2.2073586,0.057156,72.0042,No,No,Yes,Yes,2,39.93931246759934,No
