ticker,target_date,forecast_return,test_dir_acc,test_r2
FERG,2026-03-11,3.465116,77.95698924731182,0.041834196615411545
NUE,2026-03-11,3.7109733,73.16176470588235,-0.29163129262055043
CNH,2026-03-11,6.755841,72.79411764705883,0.09580904334363849
CSCO,2026-03-11,2.1478295,72.05882352941177,0.12194437534533309
WELL,2026-03-11,-5.2247167,71.69117647058823,-0.13042157384763242
LDOS,2026-03-11,-6.938672,71.69117647058823,-0.12117061081478475
REGN,2026-03-11,-7.990843,70.58823529411765,0.17691289643700192
ECL,2026-03-11,4.5564413,70.22058823529412,0.10059904884164494
SNOW,2026-03-11,1.3551593,69.90291262135922,-0.2842461404471983
PSX,2026-03-11,-7.986319,69.48529411764706,0.1383234854197386
GE,2026-03-11,6.650436,69.48529411764706,-0.19559846460450703
MDB,2026-03-11,4.654622,68.92655367231639,-0.309686897261475
HWM,2026-03-11,1.3510108,68.1592039800995,-0.4345758638242694
J,2026-03-11,-3.6464453,68.01470588235294,-0.07023292054980601
RTX,2026-03-11,2.3422122,68.01470588235294,-0.5060567953617148
XYL,2026-03-11,4.4250727,68.01470588235294,0.09804478045876108
LULU,2026-03-11,-3.983146,68.01470588235294,0.05369028336123749
MS,2026-03-11,-5.9257507,67.27941176470588,0.13199872616082076
VRTX,2026-03-11,0.80503225,66.54411764705883,-0.23197158509369786
DGX,2026-03-11,2.9794574,65.68265682656826,-0.40886208042020433
AMAT,2026-03-11,6.7407966,65.44117647058823,0.016049694337753495
JCI,2026-03-11,1.7863393,64.57564575645756,-0.10777796889320834
HD,2026-03-11,-0.7054925,64.33823529411765,0.1349315615297758
PLD,2026-03-11,0.5490422,64.33823529411765,-0.06723268394266446
COF,2026-03-11,4.7761083,64.33823529411765,-0.21897317776171232
INTC,2026-03-11,4.207802,64.33823529411765,-0.1112441743533783
EA,2026-03-11,3.4210086,64.33823529411765,0.007102907966971328
FANG,2026-03-11,-1.7196596,64.20664206642066,0.13593112015335507
APD,2026-03-11,-4.967153,63.60294117647059,-0.3480236882272294
AON,2026-03-11,6.1109304,63.60294117647059,-0.2902245510070869
IR,2026-03-11,-9.752333,63.297872340425535,-0.18961055657007986
GOOG,2026-03-11,2.5455952,63.23529411764706,-0.0075987964477362
EXPD,2026-03-11,2.0681262,62.86764705882353,-0.27581046065913095
MTD,2026-03-11,-6.999916,62.86764705882353,-0.8738818167667952
EXC,2026-03-11,-0.6175041,62.5,0.14059028524320494
BR,2026-03-11,-2.5779843,62.5,-0.14104535442222255
ADSK,2026-03-11,15.947687,62.5,0.11105485143304528
CBRE,2026-03-11,1.8834591,62.13235294117647,-0.10514246932880678
CAT,2026-03-11,6.402874,61.76470588235294,-0.3375244272598177
NEE,2026-03-11,-7.2403374,61.76470588235294,-0.26336051103844516
HCA,2026-03-11,5.0174594,61.029411764705884,-0.08201005315615872
CRH,2026-03-11,3.4959674,60.66176470588235,-0.22199017555137202
LOW,2026-03-11,1.340878,60.66176470588235,0.07880362138026387
MCK,2026-03-11,-0.15709996,60.66176470588235,-0.3042446653240829
BRK-B,2026-03-11,3.3008337,60.66176470588235,-0.40746270019136177
KVUE,2026-03-11,6.9873214,60.526315789473685,-9.770503217508441
KEYS,2026-03-11,-8.030957,60.47430830039525,-0.1965277219659256
ACGL,2026-03-11,5.114925,60.29411764705882,-0.6630111819823796
FICO,2026-03-11,17.309643,60.29411764705882,-0.9416433352650984
GWW,2026-03-11,1.9348979,60.29411764705882,-0.13669291547607942
ES,2026-03-11,-6.7827463,60.147601476014756,-0.027002162748171576
PHM,2026-03-11,6.616986,60.147601476014756,-0.46625206017421883
CMI,2026-03-11,1.7253876,59.92647058823529,-0.3150270820603751
KO,2026-03-11,-1.9861639,59.55882352941176,-0.07011759992653999
HON,2026-03-11,-1.0661185,59.55882352941176,-0.02329205999853845
HUBB,2026-03-11,7.273221,59.55882352941176,-0.3944166663405513
LKQ,2026-03-11,-0.75754523,59.55882352941176,-0.28690804333765185
DXCM,2026-03-11,-4.9105525,59.40959409594095,0.13132760045537428
KHC,2026-03-11,-0.72428584,59.401709401709404,-1.2119388638977986
VLTO,2026-03-11,2.3319364,59.25925925925925,-0.03561794465742607
LLY,2026-03-11,9.081209,59.19117647058824,-0.6695087881941042
PWR,2026-03-11,5.812633,59.19117647058824,-0.11869012135312018
CMS,2026-03-11,2.7007222,58.82352941176471,-0.2298139458748567
CVX,2026-03-11,-0.06956458,58.82352941176471,-0.25016032070882277
FDX,2026-03-11,-7.130182,58.82352941176471,-1.2953981668229009
DAL,2026-03-11,-6.2543926,58.82352941176471,0.0018022197131170037
ABBV,2026-03-11,1.3991356,58.671586715867164,-0.1619045765300513
FLUT,2026-03-11,12.513018,58.57142857142858,-0.391562539887069
FI,2026-02-09,-0.49698353,58.51851851851851,-0.2611548259458296
TFC,2026-03-11,1.6983032,58.45588235294118,0.08161101837604512
DE,2026-03-11,6.707132,58.45588235294118,-0.5289805425946705
AJG,2026-03-11,6.0656548,58.45588235294118,-0.38264881128114503
EIX,2026-03-11,-2.499473,58.30258302583026,-0.446944148218118
ADI,2026-03-11,1.3948917,58.08823529411765,-0.3752439431509422
POOL,2026-03-11,-1.6782761,58.08823529411765,-0.12343570981741214
WMB,2026-03-11,-0.35814047,58.08823529411765,-0.10563174867076852
KDP,2026-03-11,2.768886,58.08823529411765,0.019240772609925072
MSI,2026-03-11,4.675734,57.720588235294116,-0.8463048182073734
RCL,2026-03-11,1.5205145,57.720588235294116,-0.3470322936788155
D,2026-03-11,1.2245536,57.564575645756456,-0.06350100863709196
PPG,2026-03-11,3.751874,57.19557195571956,-0.12967415409966287
AMZN,2026-03-11,4.0513277,56.98529411764706,-0.16672922471785
MKC,2026-03-11,-1.9265056,56.82656826568265,-0.17954431336215393
JBHT,2026-03-11,-4.7164083,56.61764705882353,-0.6157591291460529
WAT,2026-03-11,4.500699,56.61764705882353,0.004946749602409373
CNC,2026-03-11,6.431937,56.61764705882353,-0.0783222548407072
LH,2026-03-11,-2.7561784,56.61764705882353,-0.0285821283936758
INTU,2026-03-11,-1.3749897,56.61764705882353,-0.05014718166983334
SYF,2026-03-11,-8.715534,56.42023346303502,-0.056800136991519645
TGT,2026-03-11,-8.35247,56.25,-0.3046480270705272
TSLA,2026-03-11,11.461139,56.25,-0.2628434924428893
TRV,2026-03-11,4.845834,56.25,-0.17563089422976175
